Key,en,he,it,es,fr,ar,ru
item_Scouring_pads,Scouring Pads,כריות קרצוף,Spugnette abrasive,Estropajos,Tampons à récurer,وسادات فرك,Губки для мытья посуды
item_Cleaning_cloths_microfiber_cleaning_wet_wipes,Microfiber Cloths,מטליות מיקרופייבר,Panni in microfibra,Paños de microfibra,Chiffons microfibre,فوط ميكروفايبر,Салфетки из микрофибры
item_Microfiber_cleaning_cloths,Microfiber Cloths,מטליות מיקרופייבר,Panni in microfibra,Paños de microfibra,Chiffons microfibre,فوط ميكروفايبر,Салфетки из микрофибры
item_Cleaning_wet_wipes,Cleaning Wet Wipes,מגבונים לניקוי,Salviette detergenti,Toallitas limpiadoras,Lingettes nettoyantes,مناديل تنظيف مبللة,Влажные чистящие салфетки
item_Floor_rags,Floor Rags,מטליות רצפה,Stracci per pavimenti,Trapos de suelo,Serpillières,مماسح أرضية,Тряпки для пола
item_Aluminum_foil_baking_paper_cling_film_sandwich_bags,Aluminum Foil & Wrap,נייר כסף ונצמד,Pellicola e alluminio,Papel de aluminio y film,Papier alu et film,ورق ألمنيوم وتغليف,Алюминиевая фольга и пленка
item_Aluminum_foil,Aluminum Foil,נייר כסף,Pellicola di alluminio,Papel de aluminio,Papier d'aluminium,ورق ألمنيوم,Алюминиевая фольга
item_Baking_paper,Baking Paper,נייר אפייה,Carta da forno,Papel de horno,Papier sulfurisé,ورق خبز,Бумага для выпечки
item_Cling_film,Cling Film,נייר נצמד,Pellicola trasparente,Film transparente,Film étirable,ورق تغليف شفاف,Пищевая пленка
item_Sandwich_bags,Sandwich Bags,שקיות כריכים,Sacchetti per panini,Bolsas para sándwiches,Sacs à sandwich,أكياس سندويشات,Пакеты для бутербродов
item_Rubber_cleaning_gloves,Rubber Gloves,כפפות גומי,Guanti di gomma,Guantes de goma,Gants en caoutchouc,قفازات مطاطية,Резиновые перчатки
item_Shampoo_and_hair_conditioner,Shampoo,שמפו ומרכך,Shampoo,Champú,Shampoing,شامبو,Шампунь
item_Shampoo,Shampoo,שמפו,Shampoo,Champú,Shampoing,شامبو,Шампунь
item_Hair_conditioner,Hair Conditioner,מרכך שיער,Balsamo,Acondicionador,Après-shampoing,بلسم شعر,Кондиционер для волос
item_Body_wash_liquid_bar_face_wash,Body Wash,סבון גוף,Bagnoschiuma,Gel de ducha,Gel douche,غسول جسم,Гель для душа
item_Body_wash,Body Wash,סבון גוף,Bagnoschiuma,Gel de ducha,Gel douche,غسول جسم,Гель для душа
item_Face_wash,Face Wash,סבון פנים,Detergente viso,Limpiador facial,Nettoyant visage,غسول وجه,Средство для умывания
item_Deodorant,Deodorant,דאודורנט,Deodorante,Desodorante,Déodorant,مزيل عرق,Дезодорант
item_Toothpaste_mouthwash,Toothpaste,משחת שיניים,Dentifricio,Pasta de dientes,Dentifrice,معجون أسنان,Зубная паста
item_Toothpaste,Toothpaste,משחת שיניים,Dentifricio,Pasta de dientes,Dentifrice,معجون أسنان,Зубная паста
item_Mouthwash,Mouthwash,מי פה,Colluttorio,Enjuague bucal,Bain de bouche,غسول فم,Ополаскиватель для рта
item_Toothbrushes,Toothbrushes,מברשות שיניים,Spazzolini,Cepillos de dientes,Brosses à dents,فرش أسنان,Зубные щетки
item_Razors_shaving_cream_gel,Razors,סכיני גילוח,Rasoi,Maquinillas,Rasoirs,شفرات حلاقة,Бритвы
item_Razors,Razors,סכיני גילוח,Rasoi,Maquinillas,Rasoirs,شفرات حلاقة,Бритвы
item_Shaving_cream,Shaving Cream,קצף גילוח,Schiuma da barba,Espuma de afeitar,Mousse à raser,كريم حلاقة,Крем для бритья
item_Feminine_hygiene_products_pads_tampons_panty_liners_,Feminine Hygiene,היגיינה נשית,Igiene femminile,Higiene femenina,Hygiène féminine,نظافة نسائية,Женская гигиена
item_Feminine_pads,Feminine Pads,תחבושות היגייניות,Assorbenti,Compresas,Serviettes hygiéniques,فوط صحية,Женские гигиенические прокладки
item_Tampons,Tampons,טמפונים,Assorbenti interni,Tampones,Tampons,سدادات قطنية,Тампоны
item_Panty_liners,Panty Liners,מגיני תחתון,Salvaslip,Salvaslips,Protège-slips,فوط يومية,Ежедневные прокладки
item_Cotton_swabs_cotton_balls,Cotton Swabs,צמר גפן וקיסמים,Cotton fioc,Hisopos,Coton-tiges,أعواد قطنية,Ватные палочки
item_Cotton_swabs,Cotton Swabs,קיסמי אוזניים,Cotton fioc,Hisopos,Coton-tiges,أعواد قطنية,Ватные палочки
item_Cotton_balls,Cotton Balls,צמר גפן,Batuffoli di cotone,Bolas de algodón,Boules de coton,كرات قطنية,Ватные шарики
item_Dental_floss_and_interdental_brushes,Dental Floss,חוט דנטלי,Filo interdentale,Hilo dental,Fil dentaire,خيط أسنان,Зубная нить
item_Dental_floss,Dental Floss,חוט דנטלי,Filo interdentale,Hilo dental,Fil dentaire,خيط أسنان,Зубная нить
item_Interdental_brushes,Interdental Brushes,קיסמים דנטליים,Scovolini,Cepillos interdentales,Brossettes interdentaires,فرش بين الأسنان,Межзубные щетки
item_Sunscreen_and_body_lotion,Sunscreen,קרם הגנה,Crema solare,Protector solar,Crème solaire,واقي شمس,Солнцезащитный крем
item_Sunscreen,Sunscreen,קרם הגנה,Crema solare,Protector solar,Crème solaire,واقي شمس,Солнцезащитный крем
item_Body_lotion,Body Lotion,קרם גוף,Crema corpo,Loción corporal,Lotion pour le corps,لوشن جسم,Лосьон для тела
item_Hair_styling_gel_spray,Hair Gel,ג'ל לשיער,Gel per capelli,Gel para cabello,Gel cheveux,جل شعر,Гель для волос
item_Hair_styling_gel,Hair Gel,ג'ל לשיער,Gel per capelli,Gel para el cabello,Gel coiffant,جل شعر,Гель для волос
item_Hair_styling_spray,Hair Spray,ספריי לשיער,Lacca per capelli,Laca para el cabello,Laque pour cheveux,بخاخ شعر,Лак для волос
item_Toilet_paper,Toilet Paper,נייר טואלט,Carta igienica,Papel higiénico,Papier toilette,ورق تواليت,Туалетная бумага
item_Paper_towels,Paper Towels,נייר סופג,Tovaglioli di carta,Toallas de papel,Essuie-tout,مناشف ورقية,Бумажные полотенца
item_Wet_wipes,Wet Wipes,מגבונים לחים,Salviette umidificate,Toallitas húmedas,Lingettes humides,مناديل مبللة,Влажные салфетки
item_Tissues,Tissues,טישו,Fazzoletti,Pañuelos,Mouchoirs,مناديل ورقية,Ткани
item_Makeup_remover_wipes,Makeup Wipes,מגבונים להסרת איפור,Salviette struccanti,Toallitas desmaquillantes,Lingettes démaquillantes,مناديل إزالة مكياج,Влажные салфетки для снятия макияжа
item_Pain_relievers_and_fever_reducers_Acamol_Nurofen_etc__,Pain Relievers,משככי כאבים,Antidolorifici,Analgésicos,Analgésiques,مسكنات الألم,Обезболивающие
item_Pain_relievers,Pain Relievers,משככי כאבים,Antidolorifici,Analgésicos,Analgésiques,مسكنات ألم,Обезболивающие
item_Fever_reducers,Fever Reducers,מורידי חום,Antipiretici,Antitérmicos,Antipyrétiques,خافضات حرارة,Жаропонижающие средства
item_Band_aids_bandages_Polydine_rubbing_alcohol_for_disinfection,Band-aids,פלסטרים,Cerotti,Tiritas,Pansements,بلاستر,Пластыри
item_Band_aids,Band-Aids,פלסטרים,Cerotti,Tiritas,Pansements,بلاستر,Пластыри
item_Bandages,Bandages,תחבושות,Bende,Vendas,Bandages,ضمادات,Бинты
item_Polydine,Polydine,פולידין,Polydine,Polydine,Polydine,بوليدين,Полидин
item_Rubbing_alcohol,Rubbing Alcohol,אלכוהול לחיטוי,Alcol denaturato,Alcohol isopropílico,Alcool à friction,كحول طبي,Спирт для растирания
item_Thermometer,Thermometer,מדחום,Termometro,Termómetro,Thermomètre,ميزان حرارة,Термометр
item_Burn_bite_ointments_Fenistil_Aloe_Vera_,Ointments,משחות,Unguenti,Ungüentos,Pommades,مراهم,Мази
item_Burn_ointments,Burn Ointments,משחות לכוויות,Pomate per ustioni,Ungüentos para quemaduras,Pommades pour brûlures,مراهم حروق,Мази от ожогов
item_Bite_ointments,Bite Ointments,משחות לעקיצות,Pomate per punture,Ungüentos para picaduras,Pommades pour piqûres,مراهم لدغات,Мази от укусов насекомых
item_Replacement_light_bulbs,Light Bulbs,נורות,Lampadine,Bombillas,Ampoules,مصابيح إضاءة,Лампочки
item_Batteries_AA_AAA_,Batteries,סוללות,Batterie,Pilas,Piles,بطاريات,Батареи
item_AA_Batteries,AA Batteries,סוללות AA,Batterie AA,Pilas AA,Piles AA,بطاريات AA,Батарейки типа АА
item_AAA_Batteries,AAA Batteries,סוללות AAA,Batterie AAA,Pilas AAA,Piles AAA,بطاريات AAA,Батарейки ААА
item_Mobile_phone_chargers_and_cables,Chargers,מטענים,Caricabatterie,Cargadores,Chargeurs,شواحن,Чарджерс
item_Mobile_phone_chargers,Phone Chargers,מטענים לנייד,Caricabatterie telefono,Cargadores de móvil,Chargeurs de téléphone,شواحن هواتف,Зарядные устройства для телефонов
item_Charging_cables,Charging Cables,כבלי הטענה,Cavi di ricarica,Cables de carga,Câbles de charge,كابلات شحن,Зарядные кабели
item_Extension_cords_power_strips,Extension Cords,כבלים מאריכים,Prolunghe,Cables extensores,Rallonges,وصلات كهرباء,Удлинители
item_Extension_cords,Extension Cords,כבלים מאריכים,Prolunghe,Cables extensores,Rallonges,وصلات كهرباء,Удлинители
item_Power_strips,Power Strips,מפצלי חשמל,Prese multiple,Regletas,Multiprises,مشتركات كهربائية,Сетевые фильтры
item_Flashlight_and_portable_work_light,Flashlight,פנס,Torcia,Linterna,Lampe de poche,كشاف,Фонарик
item_Flashlight,Flashlight,פנס,Torcia,Linterna,Lampe de poche,كشاف,Фонарик
item_Portable_work_light,Work Light,תאורת עבודה,Faretto da lavoro,Luz de trabajo,Lampe de travail,مصباح عمل,Рабочий фонарь
item_Matches_lighter,Matches / Lighter,גפרורים/מצית,Fiammiferi/Accendino,Cerillas/Encendedor,Allumettes/Briquet,كبريت/ولاعة,Спички / Зажигалка
item_Matches,Matches,גפרורים,Fiammiferi,Cerillas,Allumettes,كبريت,Матчи
item_Lighter,Lighter,מצית,Accendino,Encendedor,Briquet,ولاعة,Зажигалка
item_Emergency_Shabbat_candles,Candles,נרות,Candele,Velas,Bougies,شموع,Свечи
item_Emergency_candles,Emergency Candles,נרות חירום,Candele d'emergenza,Velas de emergencia,Bougies de secours,شموع طوارئ,Аварийные свечи
item_Shabbat_candles,Shabbat Candles,נרות שבת,Candele di Shabbat,Velas de Shabat,Bougies de Shabbat,شموع السبت,Свечи для Шаббата
item_Scissors,Scissors,מספריים,Forbici,Tijeras,Ciseaux,مقص,Ножницы
item_Scotch_tape_contact_adhesive,Tape & Glue,סלוטייפ ודבק,Nastro e colla,Cinta y pegamento,Ruban et colle,شريط لاصق,Скотч и клей
item_Scotch_tape,Scotch Tape,סלוטייפ,Nastro adesivo,Cinta adhesiva,Ruban adhésif,شريط لاصق,Скотч
item_Contact_adhesive,Contact Adhesive,דבק מגע,Adesivo a contatto,Adhesivo de contacto,Colle de contact,غراء لاصق,Контактный клей
item_Basic_tools_hammer_Phillips_flathead_screwdriver_nails_pliers_,Basic Tools,כלי עבודה בסיסיים,Strumenti di base,Herramientas básicas,Outils de base,أدوات أساسية,Основные инструменты
item_Basic_hammer,Hammer,פטיש,Martello,Martillo,Marteau,مطرقة,Молоток
item_Basic_screwdriver,Screwdriver,מברג,Cacciavite,Destornillador,Tournevis,مفك,Отвертка
item_Basic_nails,Nails,מסמרים,Chiodi,Clavos,Clous,مسامير,Гвозди
item_Basic_pliers,Pliers,פלייר,Pinze,Alicates,Pinces,كماشة,Плоскогубцы
item_Duct_tape_and_super_glue,Duct Tape,מסקינטייפ,Nastro adesivo,Cinta americana,Ruban adhésif,شريط لاصق قوي,Скотч
item_Duct_tape,Duct Tape,מסקינטייפ,Nastro adesivo,Cinta americana,Ruban adhésif,شريط لاصق قوي,Скотч
item_Super_glue,Super Glue,דבק מהיר,Super colla,Superpegamento,Super glue,غراء سريع,Суперклей
item_Printer_paper_A4_,Printer Paper,נייר מדפסת,Carta stampante,Papel de impresora,Papier imprimante,ورق طابعة,Бумага для принтера
item_Pens_pencils_and_highlighters,Pens & Pencils,עטים ועפרונות,Penne e matite,Bolígrafos y lápices,Stylos et crayons,أقلام,Ручки и карандаши
item_Pens,Pens,עטים,Penne,Bolígrafos,Stylos,أقلام حبر,Ручки
item_Pencils,Pencils,עפרונות,Matite,Lápices,Crayons,أقلام رصاص,Карандаши
item_Highlighters,Highlighters,מרקרים,Evidenziatori,Resaltadores,Surligneurs,أقلام تحديد,Маркеры
item_Notebooks_and_sticky_notes,Notebooks,מחברות,Quaderni,Cuadernos,Cahiers,دفاتر,Тетради
item_Notebooks,Notebooks,מחברות,Quaderni,Cuadernos,Cahiers,دفاتر,Тетради
item_Sticky_notes,Sticky Notes,פתקיות,Foglietti adesivi,Notas adhesivas,Notes autocollantes,ملاحظات لاصقة,Стикеры
item_Stapler_staples_and_paperclips,Stapler,שדכן,Cucitrice,Grapadora,Agrafeuse,دباسة,Степлер
item_Stapler,Stapler,שדכן,Cucitrice,Grapadora,Agrafeuse,دباسة,Степлер
item_Staples,Staples,סיכות לשדכן,Punti metallici,Grapas,Agrafes,دبابيس,Стейплс
item_Paperclips,Paperclips,אטבי נייר,Graffette,Clips,Trombones,مشابك ورق,Скрепки
item_Hammer,Hammer,פטיש,Martello,Martillo,Marteau,مطرقة,Молоток
item_Screwdriver_set_Phillips_and_flathead_various_sizes_,Screwdriver,מברג,Cacciavite,Destornillador,Tournevis,مفك,Отвертка
item_Phillips_screwdriver,Phillips Screwdriver,מברג פיליפס,Cacciavite a stella,Destornillador Phillips,Tournevis cruciforme,مفك صليبة,Крестовая отвертка
item_Flathead_screwdriver,Flathead Screwdriver,מברג שטוח,Cacciavite piatto,Destornillador plano,Tournevis plat,مفك عادي,Плоская отвертка
item_Pliers_locking_pliers,Pliers,פלייר,Pinze,Alicates,Pinces,كماشة,Плоскогубцы
item_Pliers,Pliers,פלייר,Pinze,Alicates,Pinces,كماشة,Плоскогубцы
item_Locking_pliers,Locking Pliers,פלייר פטנט,Pinza a scatto,Mordaza,Pince-étau,كماشة كبس,Зажимные плоскогубцы
item_Adjustable_wrench,Wrench,מפתח שוודי,Chiave inglese,Llave inglesa,Clé à molette,مفتاح ربط,Гаечный ключ
item_Utility_knife_and_replacement_blades_,Utility Knife,סכין יפנית,Taglierino,Cúter,Cutter,مشرط,Универсальный нож
item_Utility_knife,Utility Knife,סכין יפנית,Taglierino,Cúter,Cutter,مشرط,Универсальный нож
item_Replacement_blades,Replacement Blades,להבים להחלפה,Lame di ricambio,Cuchillas de repuesto,Lames de rechange,شفرات بديلة,Сменные лезвия
item_Measuring_tape,Measuring Tape,סרט מידה,Metro a nastro,Cinta métrica,Mètre ruban,شريط قياس,Измерительная лента
item_Small_level,Level,פלס,Livella,Nivel,Niveau,ميزان ماء,Уровень
item_Pipe_wrench,Pipe Wrench,מפתח צינורות,Girattubi,Llave de tubo,Clé serre-tubes,مفتاح أنابيب,Трубный ключ
item_Allen_wrench_set_Hex_keys_,Allen Wrench,מפתחות אלן,Chiavi a brugola,Llaves Allen,Clés Allen,مفتاح ألين,Аллен Вренч
item_Allen_wrench_set,Allen Wrench Set,סט מפתחות אלן,Set di chiavi a brugola,Juego de llaves Allen,Jeu de clés Allen,طقم مفاتيح ألين,Набор шестигранных ключей
item_Hex_keys,Hex Keys,מפתחות משושה,Chiavi esagonali,Llaves hexagonales,Clés hexagonales,مفاتيح سداسية,Шестигранные ключи
item_Box_of_nails_various_sizes_,Nails,מסמרים,Chiodi,Clavos,Clous,مسامير,Гвозди
item_Screws_and_wall_plugs_set_matching_,Screws & Plugs,ברגים ודיבלים,Viti e tasselli,Tornillos y tacos,Vis et chevilles,براغي ومسامير,Винты и дюбели
item_Screws,Screws,ברגים,Viti,Tornillos,Vis,براغي,Винты
item_Wall_plugs,Wall Plugs,דיבלים,Tasselli,Tacos,Chevilles,خابور جداري,Настенные розетки
item_Electrical_tape,Electrical Tape,איזולירבנד,Nastro isolante,Cinta aislante,Ruban isolant,شريط كهربائي,Изолента
item_Cable_ties_various_sizes_,Cable Ties,אזיקונים,Fascette,Bridas,Serre-câbles,روابط كابلات,Кабельные стяжки
item_Sandpaper_coarse_and_fine_,Sandpaper,נייר לטש,Carta vetrata,Papel de lija,Papier de verre,ورق صنفرة,Наждачная бумага
item_Lubricant_and_penetrating_oil_spray_e_g_WD_40_,Lubricant Spray,תרסיס שימון (WD-40),Lubrificante,Lubricante,Lubrifiant,بخاخ تشحيم,Смазочный спрей
item_Lubricant_spray,Lubricant Spray,תרסיס שימון,Spray lubrificante,Spray lubricante,Spray lubrifiant,بخاخ تشحيم,Смазочный спрей
item_Penetrating_oil,Penetrating Oil,שמן חודר,Olio sbloccante,Aceite penetrante,Huile pénétrante,زيت اختراق,Проникающее масло
item_Wood_glue_super_glue_epoxy_resin,Glue,דבק,Colla,Pegamento,Colle,صمغ,Клей
item_Wood_glue,Wood Glue,דבק עץ,Colla per legno,Pegamento para madera,Colle à bois,غراء خشب,Клей для дерева
item_Epoxy_resin,Epoxy Resin,אפוקסי,Resina epossidica,Resina epoxi,Résine époxy,راتنج إيبوكسي,Эпоксидная смола
item_Safety_goggles_and_work_gloves,Safety Gear,ציוד מגן,Dispositivi sicurezza,Equipo de seguridad,Équipement de sécurité,معدات سلامة,Защитное снаряжение
item_Safety_goggles,Safety Goggles,משקפי מגן,Occhiali di sicurezza,Gafas de seguridad,Lunettes de sécurité,نظارات واقية,Защитные очки
item_Work_gloves,Work Gloves,כפפות עבודה,Guanti da lavoro,Guantes de trabajo,Gants de travail,قفازات عمل,Рабочие перчатки
item_Cordless_drill_driver,Cordless Drill,מקדחה/מברגה,Trapano a batteria,Taladro inalámbrico,Perceuse sans fil,مثقاب لاسلكي,Аккумуляторная дрель
item_Cordless_drill,Cordless Drill,מקדחה נטענת,Trapano a batteria,Taladro inalámbrico,Perceuse sans fil,مثقاب لاسلكي,Аккумуляторная дрель
item_Drill_driver,Drill Driver,מברגה,Avvitatore,Atornillador,Visseuse,مفك براغي كهربائي,Шуруповерт
item_Drill_bit_set_for_wood_masonry_and_metal_,Drill Bits,מקדחים,Punte per trapano,Brocas,Forets,ريش مثقاب,Сверла
item_Wood_drill_bit,Wood Drill Bit,מקדח עץ,Punta per legno,Broca para madera,Foret à bois,ريشة خشب,Сверло по дереву
item_Masonry_drill_bit,Masonry Drill Bit,מקדח קיר,Punta per muro,Broca para mampostería,Foret à maçonnerie,ريشة جدار,Сверло для каменной кладки
item_Metal_drill_bit,Metal Drill Bit,מקדח מתכת,Punta per metallo,Broca para metal,Foret à métaux,ريشة معدن,Сверло по металлу
item_Screwdriver_bit_set,Screwdriver Bits,ביטים למברגה,Punte cacciavite,Puntas destornillador,Embouts tournevis,لقم مفك,Насадки для отвертки
item_Electric_sander_or_jigsaw,Sander / Jigsaw,מסור/מלטשת,Levigatrice/Seghetto,Lijadora/Sierra,Ponceuse/Scie,صنفرة / منشار,Шлифовальная машина / Лобзик
item_Electric_sander,Electric Sander,מלטשת חשמלית,Levigatrice,Lijadora eléctrica,Ponceuse électrique,صنفرة كهربائية,Электрическая шлифовальная машина
item_Jigsaw,Jigsaw,מסור אנכי (ג'יגסו),Seghetto alternativo,Sierra de calar,Scie sauteuse,منشار أركت,Пазл
item_Pills_for_adults_paracetamol_based_ibuprofen_based_Optalgin_,Adult Pills,כדורים למבוגרים,Pillole adulti,Pastillas adultos,Pilules adultes,حبوب كبار,Таблетки для взрослых
item_Paracetamol,Paracetamol,פרצטמול,Paracetamolo,Paracetamol,Paracétamol,باراسيتامول,Парацетамол
item_Ibuprofen,Ibuprofen,איבופרופן,Ibuprofene,Ibuprofeno,Ibuprofène,إيبوبروفين,Ибупрофен
item_Optalgin,Optalgin,אופטלגין,Optalgin,Optalgin,Optalgine,أوبتالجين,Опталгин
item_Syrup_or_suppositories_for_children_s_fever,Children's Syrup,סירופ לילדים,Sciroppo bambini,Jarabe niños,Sirop enfants,شراب أطفال,Детский сироп
item_Children_s_fever_syrup,Children's Fever Syrup,סירופ חום לילדים,Sciroppo febbre bambini,Jarabe fiebre niños,Sirop fièvre enfants,شراب حمى أطفال,Детский жаропонижающий сироп
item_Suppositories,Suppositories,נרות (רפואי),Supposte,Supositorios,Suppositoires,تحاميل,Суппозитории
item_Band_aids_in_various_sizes_and_shapes,Band-aids,פלסטרים,Cerotti,Tiritas,Pansements,بلاستر,Пластыри
item_Personal_bandages_and_sterile_gauze_pads,Bandages,תחבושות,Bende,Vendas,Bandages,ضمادات,Бинты
item_Personal_bandages,Personal Bandages,תחבושות אישיות,Bende personali,Vendas personales,Bandages personnels,ضمادات شخصية,Персональные бинты
item_Sterile_gauze_pads,Sterile Gauze Pads,פדי גזה סטריליים,Garze sterili,Gasas estériles,Compresses stériles,وسادات شاش معقمة,Стерильные марлевые подушечки
item_Medical_adhesive_tape_Micropore_,Medical Tape,סרט רפואי,Nastro medico,Cinta médica,Ruban médical,شريط طبي,Медицинский пластырь
item_Antiseptic_Polydine_Savlon_or_antiseptic_spray_,Antiseptic,חומר חיטוי,Antisettico,Antiséptico,Antiseptique,مطهر,Антисептик
item_Savlon,Savlon,סבלון,Savlon,Savlon,Savlon,سافلون,Савлон
item_Antiseptic_spray,Antiseptic Spray,תרסיס חיטוי,Spray antisettico,Spray antiséptico,Spray antiseptique,بخاخ مطهر,Антисептический спрей
item_Medical_alcohol_70__,Medical Alcohol,אלכוהול רפואי,Alcol medico,Alcohol médico,Alcool médical,كحول طبي,Медицинский алкоголизм
item_Tweezers_for_removing_splinters_thorns_,Tweezers,פינצטה,Pinzette,Pinzas,Pinces à épiler,ملقط,Пинцет
item_Cold_hot_compress_gel_packs,Gel Compress,קומפרס ג'ל,Impacco gel,Compresa de gel,Compresse de gel,كمادة جل,Гелевый компресс
item_Cold_compress,Cold Compress,קומפרס קר,Impacco freddo,Compresa fría,Compresse froide,كمادة باردة,Холодный компресс
item_Hot_compress,Hot Compress,קומפרס חם,Impacco caldo,Compresa caliente,Compresse chaude,كمادة ساخنة,Горячий компресс
item_Gel_or_ointment_for_burns,Burn Gel,ג'ל לכוויות,Gel ustioni,Gel para quemaduras,Gel brûlures,جل حروق,Гель от ожогов
item_Burn_gel,Burn Gel,ג'ל כוויות,Gel ustioni,Gel quemaduras,Gel brûlures,جل حروق,Гель от ожогов
item_Ointment_for_bites_and_itching,Bite Ointment,משחה לעקיצות,Pomata punture,Ungüento picaduras,Pommade piqûres,مرهم لدغات,Мазь от укусов насекомых
item_Anti_itch_ointment,Anti-itch Ointment,משחה נגד גירוד,Pomata prurito,Ungüento picor,Pommade anti-démangeaisons,مرهم مضاد للحكة,Мазь против зуда
item_Antibiotic_ointment_for_minor_skin_infections,Antibiotic Ointment,משחה אנטיביוטית,Pomata antibiotica,Ungüento antibiótico,Pommade antibiotique,مرهم مضاد حيوي,Антибиотическая мазь
item_Muscle_relief_cream_e_g_BenGay_Voltaren_,Muscle Cream,קרם שרירים,Crema muscoli,Crema muscular,Crème musculaire,كريم عضلات,Крем для мышц
item_Muscle_relief_cream,Muscle Relief Cream,משחה לשרירים,Crema muscolare,Crema muscular,Crème musculaire,كريم عضلات,Крем для снятия мышечного напряжения
item_Voltaren,Voltaren,וולטרן,Voltaren,Voltaren,Voltarène,فولتارين,Волтарен
item_Thermometer_digital_or_regular_,Thermometer,מדחום,Termometro,Termómetro,Thermomètre,ميزان حرارة,Термометр
item_Digital_thermometer,Digital Thermometer,מדחום דיגיטלי,Termometro digitale,Termómetro digital,Thermomètre numérique,مقياس حرارة رقمي,Цифровой термометр
item_Regular_thermometer,Regular Thermometer,מדחום רגיל,Termometro normale,Termómetro normal,Thermomètre classique,مقياس حرارة عادي,Обычный термометр
item_Lozenges_for_sore_throat,Lozenges,לכסניות גרון,Pastiglie,Pastillas,Pastilles,أقراص استحلاب,Леденцы
item_Cough_syrup,Cough Syrup,סירופ שיעול,Sciroppo tosse,Jarabe tos,Sirop toux,شراب سعال,Сироп от кашля
item_Nasal_drops_or_spray_saline_or_medicated_,Nasal Spray,טיפות אף,Spray nasale,Aerosol nasal,Spray nasal,قطرة أنف,Назальный спрей
item_Nasal_drops,Nasal Drops,טיפות אף,Gocce nasali,Gotas nasales,Gouttes nasales,قطرة أنف,Назальные капли
item_Nasal_spray,Nasal Spray,תרסיס אף,Spray nasale,Spray nasal,Spray nasal,بخاخ أنف,Назальный спрей
item_Allergy_medicines_antihistamines_,Allergy Meds,תרופות לאלרגיה,Antistaminici,Antihistamínicos,Antihistaminiques,أدوية حساسية,Лекарства от аллергии
item_Allergy_medicines,Allergy Medicines,תרופות אלרגיה,Medicine allergia,Medicinas alergia,Médicaments allergie,أدوية حساسية,Лекарства от аллергии
item_Antihistamines,Antihistamines,אנטיהיסטמינים,Antistaminici,Antihistamínicos,Antihistaminiques,مضادات الهيستامين,Антигистаминные препараты
item_Pills_for_nausea_or_upset_stomach,Nausea Pills,כדורים לבחילות,Pillole nausea,Pastillas náuseas,Pilules nausée,حبوب غثيان,Таблетки от тошноты
item_Nausea_pills,Nausea Pills,כדורי בחילה,Pillole nausea,Pastillas náuseas,Pilules nausée,حبوب غثيان,Таблетки от тошноты
item_Upset_stomach_pills,Stomach Pills,כדורי בטן,Pillole stomaco,Pastillas estómago,Pilules estomac,حبوب معدة,Таблетки для желудка
item_Eye_drops_lubricating_or_allergy_,Eye Drops,טיפות עיניים,Collirio,Gotas ojos,Gouttes pour les yeux,قطرة عين,Глазные капли
item_Lubricating_eye_drops,Lubricating Eye Drops,טיפות עיניים ליובש,Collirio idratante,Gotas lubricantes,Gouttes hydratantes,قطرة مرطبة للعين,Увлажняющие глазные капли
item_Allergy_eye_drops,Allergy Eye Drops,טיפות עיניים לאלרגיה,Collirio allergia,Gotas alergia,Gouttes allergie,قطرة حساسية للعين,Глазные капли от аллергии
item_Antacids_for_heartburn_reflux_,Antacids,נוגדי חומצה,Antiacidi,Antiácidos,Antiacides,مضادات حموضة,Антациды
item_Heartburn_medicine,Heartburn Medicine,תרופה לצרבת,Medicina bruciore,Medicina acidez,Médicament brûlures,دواء حرقة,Лекарство от изжоги
item_Saucepan_small_pot,Saucepan,סיר קטן/קלחת,Casseruola,Cazo,Casserole,قدر صغير,Кастрюля
item_Saucepan,Saucepan,קלחת,Casseruola,Cazo,Casserole,قدر صغير,Кастрюля
item_Small_pot,Small Pot,סיר קטן,Pentola piccola,Olla pequeña,Petite marmite,قدر صغير,Маленький горшок
item_Medium_pot,Medium Pot,סיר בינוני,Pentola media,Olla mediana,Marmite moyenne,قدر متوسط,Средний горшок
item_Large_pot,Large Pot,סיר גדול,Pentola grande,Olla grande,Grande marmite,قدر كبير,Большой горшок
item_Medium_large_frying_pan,Frying Pan,מחבת,Padella,Sartén,Poêle,مقلاة,Сковорода
item_Small_pan_for_omelets_,Small Pan,מחבת קטנה,Padellina,Sartén pequeña,Petite poêle,مقلاة صغيرة,Маленькая сковорода
item_Baking_dishes_Pyrex_glass_metal_or_disposable_aluminum_,Baking Dish,תבנית אפייה,Teglia,Fuente de horno,Plat à four,صينية خبز,Форма для запекания
item_Pyrex_baking_dish,Pyrex Dish,תבנית פיירקס,Pirofila Pyrex,Fuente Pyrex,Plat Pyrex,صينية بايركس,Форма из жаропрочного стекла (Pyrex Dish)
item_Metal_baking_dish,Metal Baking Dish,תבנית מתכת,Teglia metallo,Bandeja metal,Plat métal,صينية معدنية,Металлическая форма для выпечки
item_Disposable_aluminum_baking_dish,Aluminum Dish,תבנית אלומיניום חד פעמית,Vaschetta alluminio,Bandeja aluminio,Barquette alu,صينية ألمنيوم,Алюминиевая тарелка
